"{'roll': 223.01682691210746, 'pitch': 299.11070087022307, 'yaw': 122.87704294225367}"
"{'roll': 223.2283442103244, 'pitch': 298.67408785771914, 'yaw': 122.93128830464191}"
"{'roll': 220.9591641227494, 'pitch': 298.82080032109104, 'yaw': 124.2143393402288}"
"{'roll': 221.2565915403468, 'pitch': 298.9193941017602, 'yaw': 124.2680246271051}"
"{'roll': 219.86123853442655, 'pitch': 298.76968318534267, 'yaw': 125.5790930986674}"
"{'roll': 219.45935020366298, 'pitch': 299.5280800700242, 'yaw': 126.2946783576313}"
"{'roll': 219.80964328543627, 'pitch': 299.6466453238264, 'yaw': 126.09531879613697}"
"{'roll': 221.21129372577127, 'pitch': 300.15998868146625, 'yaw': 125.05345540052156}"
"{'roll': 220.45743208669862, 'pitch': 299.9363819484184, 'yaw': 125.19736748633373}"
"{'roll': 220.17500376451858, 'pitch': 299.88049051044015, 'yaw': 125.95280006891548}"
"{'roll': 220.65890900683564, 'pitch': 299.2828216373074, 'yaw': 125.7100141646782}"
"{'roll': 221.01133310762998, 'pitch': 299.1798223846236, 'yaw': 126.00341177066527}"
"{'roll': 221.19190964890677, 'pitch': 299.0668852066974, 'yaw': 125.48148969542791}"
"{'roll': 221.54753027823264, 'pitch': 298.8617199844086, 'yaw': 125.42225829494556}"
"{'roll': 221.78772071058532, 'pitch': 298.93299983858685, 'yaw': 125.42941633319573}"
"{'roll': 221.07989454651855, 'pitch': 299.1618453267281, 'yaw': 126.07593471927247}"
"{'roll': 222.0428009553286, 'pitch': 299.32900737647503, 'yaw': 125.75010737510618}"
"{'roll': 221.04996465757557, 'pitch': 299.66700611774223, 'yaw': 126.28364077193255}"
"{'roll': 220.47628340880786, 'pitch': 298.8955089302326, 'yaw': 126.875148814434}"
"{'roll': 220.6206326267269, 'pitch': 299.1440117028052, 'yaw': 127.10038113250434}"
"{'roll': 220.7332897668971, 'pitch': 299.3647975677259, 'yaw': 127.48262583921493}"
"{'roll': 219.17466791905687, 'pitch': 299.4985599924314, 'yaw': 128.50151247846242}"
"{'roll': 218.0238493458014, 'pitch': 299.45779742346474, 'yaw': 130.09621138549866}"
"{'roll': 217.58755052199933, 'pitch': 299.1850679699062, 'yaw': 129.5554106673954}"
"{'roll': 217.54284010369244, 'pitch': 299.7534626522563, 'yaw': 129.86312434988278}"
"{'roll': 218.10564769130147, 'pitch': 299.30484899738065, 'yaw': 129.77812947585116}"
"{'roll': 218.38475654154487, 'pitch': 299.2652748813296, 'yaw': 129.81478027093743}"
"{'roll': 217.84883257850902, 'pitch': 298.8131095280856, 'yaw': 129.56853829098014}"
"{'roll': 218.56921263027024, 'pitch': 298.50164607174383, 'yaw': 129.46312115133017}"
"{'roll': 219.52374522715786, 'pitch': 298.7786034123987, 'yaw': 128.9493133408268}"
"{'roll': 218.65412554203184, 'pitch': 299.654821060263, 'yaw': 129.56390742272288}"
"{'roll': 218.45569488626464, 'pitch': 300.01303716147345, 'yaw': 130.67696871024648}"
"{'roll': 218.780962154919, 'pitch': 299.75612642603255, 'yaw': 130.70493150470853}"
"{'roll': 219.1176221791089, 'pitch': 299.58462037597354, 'yaw': 129.70025165893466}"
"{'roll': 219.53196877491857, 'pitch': 300.50007746061954, 'yaw': 129.5794529332738}"
"{'roll': 218.67034041112146, 'pitch': 300.7096823058689, 'yaw': 130.11972089662183}"
"{'roll': 219.20909207247374, 'pitch': 300.14277660475784, 'yaw': 129.87461272806675}"
"{'roll': 219.95523559778425, 'pitch': 299.5483725620483, 'yaw': 128.92453341451798}"
"{'roll': 221.58154462029933, 'pitch': 299.5169741824337, 'yaw': 128.75850517617332}"
"{'roll': 220.9812802752819, 'pitch': 299.1091845682273, 'yaw': 128.60039995726586}"
"{'roll': 221.2900731276582, 'pitch': 299.6255673600478, 'yaw': 127.76845559560162}"
"{'roll': 222.36294558210545, 'pitch': 299.7050502714192, 'yaw': 127.66481430513585}"
"{'roll': 222.2500562155035, 'pitch': 300.3243093725184, 'yaw': 127.94460617429625}"
"{'roll': 221.6189467361943, 'pitch': 300.87728831791185, 'yaw': 127.84219431788108}"
"{'roll': 221.00036382382294, 'pitch': 301.04718244332673, 'yaw': 128.87158578807205}"
"{'roll': 222.1167582436615, 'pitch': 300.84124540966167, 'yaw': 128.1689232470178}"
"{'roll': 221.37405713369267, 'pitch': 300.83353412608875, 'yaw': 128.3459480899262}"
"{'roll': 222.16679620952104, 'pitch': 300.68184245481194, 'yaw': 127.84481711052237}"
"{'roll': 223.40114799632573, 'pitch': 301.0062832705767, 'yaw': 128.15418369878893}"
"{'roll': 223.39009675024866, 'pitch': 301.2660968364148, 'yaw': 127.8824377924708}"
"{'roll': 223.75671398413826, 'pitch': 300.7030706827523, 'yaw': 127.7895062386236}"
"{'roll': 224.87935119687822, 'pitch': 300.2146438552047, 'yaw': 126.96590836812513}"
"{'roll': 224.9671191277129, 'pitch': 300.0192594638073, 'yaw': 127.36664922710811}"
"{'roll': 225.04999664310182, 'pitch': 300.5537490871175, 'yaw': 127.35738749059358}"
"{'roll': 224.6712626536246, 'pitch': 300.7284311751406, 'yaw': 128.22357842075627}"
"{'roll': 223.9161442597447, 'pitch': 300.44834560784585, 'yaw': 128.73783702374485}"
"{'roll': 222.9210813203222, 'pitch': 299.8585246220694, 'yaw': 129.8924805029355}"
"{'roll': 222.8568775421241, 'pitch': 299.51542372949217, 'yaw': 129.94430797835756}"
"{'roll': 223.14938722351906, 'pitch': 299.9172505885532, 'yaw': 129.68515694086895}"
"{'roll': 222.69090394529277, 'pitch': 300.21379008155844, 'yaw': 130.72752577048294}"
"{'roll': 221.51701299302104, 'pitch': 300.02086455826225, 'yaw': 130.65589074646783}"
"{'roll': 221.68478975979323, 'pitch': 300.4683512319248, 'yaw': 130.09017349827235}"
"{'roll': 222.20505892925144, 'pitch': 299.6064906416959, 'yaw': 129.3925516368256}"
"{'roll': 222.09283892118813, 'pitch': 298.92703025325227, 'yaw': 129.07772089722303}"
"{'roll': 221.77651920034648, 'pitch': 299.1496192881138, 'yaw': 129.63041980486045}"
"{'roll': 222.42469049220236, 'pitch': 299.55138467547226, 'yaw': 129.52908711833416}"
"{'roll': 222.19230013588185, 'pitch': 299.3776451535547, 'yaw': 130.17321493820137}"
"{'roll': 221.30087848692514, 'pitch': 298.95082663232057, 'yaw': 131.14172210213084}"
"{'roll': 221.1047564350974, 'pitch': 299.14227683475605, 'yaw': 132.0643577155945}"
