"{'x': -13.376838684082031, 'y': 8.161553382873535, 'z': -13.565898895263672}"
"{'x': -13.367867469787598, 'y': 8.184661865234375, 'z': -13.284428596496582}"
"{'x': -13.385369300842285, 'y': 7.963804244995117, 'z': -13.0433931350708}"
"{'x': -13.424384117126465, 'y': 7.865443229675293, 'z': -13.009861946105957}"
"{'x': -13.60854434967041, 'y': 7.964415550231934, 'z': -13.30059814453125}"
"{'x': -13.713215827941895, 'y': 7.9364848136901855, 'z': -13.388604164123535}"
"{'x': -13.810418128967285, 'y': 8.233213424682617, 'z': -13.571667671203613}"
"{'x': -13.942388534545898, 'y': 8.397701263427734, 'z': -13.693100929260254}"
"{'x': -13.963972091674805, 'y': 8.364171981811523, 'z': -13.963181495666504}"
"{'x': -13.832772254943848, 'y': 8.348797798156738, 'z': -14.065183639526367}"
"{'x': -13.931589126586914, 'y': 8.415119171142578, 'z': -14.006414413452148}"
"{'x': -14.073448181152344, 'y': 8.747730255126953, 'z': -14.125232696533203}"
"{'x': -14.030856132507324, 'y': 8.860939025878906, 'z': -14.459379196166992}"
"{'x': -13.997913360595703, 'y': 9.07315731048584, 'z': -14.734027862548828}"
"{'x': -13.86038875579834, 'y': 9.060462951660156, 'z': -14.978031158447266}"
"{'x': -13.927597999572754, 'y': 8.916044235229492, 'z': -15.163507461547852}"
"{'x': -14.030354499816895, 'y': 8.750298500061035, 'z': -15.404356002807617}"
"{'x': -14.236352920532227, 'y': 8.837998390197754, 'z': -15.409762382507324}"
"{'x': -14.333052635192871, 'y': 9.017361640930176, 'z': -15.632329940795898}"
"{'x': -14.335472106933594, 'y': 9.066527366638184, 'z': -15.692959785461426}"
"{'x': -14.38235092163086, 'y': 9.22794246673584, 'z': -15.760814666748047}"
"{'x': -14.590559959411621, 'y': 9.467275619506836, 'z': -15.546930313110352}"
"{'x': -14.796731948852539, 'y': 9.553194046020508, 'z': -15.331391334533691}"
"{'x': -14.769593238830566, 'y': 9.50570011138916, 'z': -15.445684432983398}"
"{'x': -14.734285354614258, 'y': 9.484573364257812, 'z': -15.569486618041992}"
"{'x': -14.781475067138672, 'y': 9.527129173278809, 'z': -15.826459884643555}"
"{'x': -14.918285369873047, 'y': 9.693081855773926, 'z': -15.859095573425293}"
